game_id,player_id,team_id,opp_team_id,game_date,season_year,iso_week,player_name,team_code,pass_yds,pass_td,ints,rush_yds,rush_td,rec_yds,rec_td,fumbles_lost,targets,receptions,fantasypoints_nonppr,fantasypoints_halfppr,fantasypoints_ppr,fantasypoints
2024122907,1,12,21,2024-12-29,2024,52,J.JACOBS,GB,0,0,0,69,1,0,0,1,0,0,10.9,10.9,10.9,10.9
2024122907,2,21,12,2024-12-29,2024,52,S.DARNOLD,MIN,377,3,1,-3,0,0,0,0,0,0,24.78,24.78,24.78,24.78
2024122907,3,21,12,2024-12-29,2024,52,J.ADDISON,MIN,0,0,0,0,0,69,1,0,8,6,12.9,15.9,18.9,12.9
2025010401,4,7,27,2025-01-04,2024,1,M.GESICKI,CIN,0,0,0,0,0,68,0,0,9,8,6.8,10.8,14.8,6.8
2025010401,5,7,27,2025-01-04,2024,1,J.BURROW,CIN,277,1,1,-1,0,0,0,0,0,0,12.98,12.98,12.98,12.98
2025010401,6,7,27,2025-01-04,2024,1,K.HERBERT,CIN,0,0,0,69,0,14,0,0,7,7,8.3,11.8,15.3,8.3
2025010401,7,27,7,2025-01-04,2024,1,S.ANDERSON,PIT,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.1
2025010401,8,27,7,2025-01-04,2024,1,N.HARRIS,PIT,0,0,0,35,1,20,0,0,5,4,11.5,13.5,15.5,11.5
2024122909,9,30,5,2024-12-29,2024,52,R.WHITE,TB,0,0,0,30,0,4,0,0,1,1,3.4,3.9,4.4,3.4
2024122909,10,30,5,2024-12-29,2024,52,B.MAYFIELD,TB,359,5,0,2,0,0,0,0,0,0,34.56,34.56,34.56,34.56
2024122909,11,30,5,2024-12-29,2024,52,P.DURHAM,TB,0,0,0,0,0,36,1,0,3,2,9.6,10.6,11.6,9.6
2024122909,12,30,5,2024-12-29,2024,52,J.MCMILLAN,TB,0,0,0,9,0,51,2,0,5,5,18.0,20.5,23.0,18.0
2024122909,13,30,5,2024-12-29,2024,52,B.IRVING,TB,0,0,0,113,0,77,0,0,4,4,19.0,21.0,23.0,19.0
2024122907,14,21,12,2024-12-29,2024,52,A.JONES,MIN,0,0,0,47,0,30,0,0,5,4,7.7,9.7,11.7,7.7
2024122906,15,15,31,2024-12-29,2024,52,M.JONES,JAX,174,2,0,19,0,0,0,0,0,0,16.86,16.86,16.86,16.86
2024122906,16,15,31,2024-12-29,2024,52,P.WASHINGTON,JAX,0,0,0,0,0,31,1,0,3,3,9.1,10.6,12.1,9.1
2024122906,17,15,31,2024-12-29,2024,52,T.ETIENNE,JAX,0,0,0,49,0,26,0,0,1,1,7.5,8.0,8.5,7.5
2024122906,18,15,31,2024-12-29,2024,52,B.THOMAS,JAX,0,0,0,18,0,91,1,0,8,7,16.9,20.4,23.9,16.9
2024122904,19,2,32,2024-12-29,2024,52,M.PENIX,ATL,223,1,1,3,0,0,0,0,0,0,11.22,11.22,11.22,11.22
2024122904,20,2,32,2024-12-29,2024,52,K.PITTS,ATL,0,0,0,0,0,44,1,0,5,4,10.4,12.4,14.4,10.4
2024122904,21,2,32,2024-12-29,2024,52,B.ROBINSON,ATL,0,0,0,89,2,8,0,0,4,3,21.7,23.2,24.7,21.7
2024122904,22,32,2,2024-12-29,2024,52,J.DANIELS,WAS,227,3,1,123,0,0,0,0,0,0,31.38,31.38,31.38,31.38
2024122904,23,32,2,2024-12-29,2024,52,O.ZACCHEAUS,WAS,0,0,0,8,0,85,1,0,8,8,15.3,19.3,23.3,15.3
2024122904,24,32,2,2024-12-29,2024,52,B.ROBINSON,WAS,0,0,0,54,0,9,0,0,2,2,6.3,7.3,8.3,6.3
2024122903,25,24,14,2024-12-29,2024,52,J.EZEUDU,NYG,0,0,0,-2,0,0,0,0,0,0,-0.2,-0.2,-0.2,-0.2
2024122903,26,24,14,2024-12-29,2024,52,D.LOCK,NYG,313,4,0,1,1,0,0,0,0,0,34.62,34.62,34.62,34.62
2024122903,27,14,24,2024-12-29,2024,52,J.FLACCO,IND,330,2,2,1,0,0,0,1,0,0,15.3,15.3,15.3,15.3
2024122903,28,14,24,2024-12-29,2024,52,M.PITTMAN,IND,0,0,0,0,0,109,1,0,10,9,16.9,21.4,25.9,16.9
2024122903,29,14,24,2024-12-29,2024,52,J.TAYLOR,IND,0,0,0,125,2,11,0,0,2,2,25.6,26.6,27.6,25.6
2024122903,30,14,24,2024-12-29,2024,52,J.DOWNS,IND,0,0,0,0,0,22,0,0,4,3,2.2,3.7,5.2,2.2
2024122903,31,14,24,2024-12-29,2024,52,A.PIERCE,IND,0,0,0,0,0,122,1,0,8,6,18.2,21.2,24.2,18.2
2024122906,32,31,15,2024-12-29,2024,52,T.SPEARS,TEN,0,0,0,72,0,8,0,0,3,3,8.0,9.5,11.0,8.0
2024122906,33,15,31,2024-12-29,2024,52,T.JONES,JAX,0,0,0,0,0,11,0,0,1,1,1.1,1.6,2.1,1.1
2024122906,34,15,31,2024-12-29,2024,52,B.HANCE,JAX,0,0,0,8,0,0,0,0,0,0,0.8,0.8,0.8,0.8
2024122905,35,4,25,2024-12-29,2024,52,R.GILLIAM,BUF,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.3,0.3
2024122905,36,25,4,2024-12-29,2024,52,G.WILSON.,NYJ,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
2024122905,37,25,4,2024-12-29,2024,52,T.TAYLOR,NYJ,83,2,0,12,0,0,0,0,0,0,12.52,12.52,12.52,12.52
2024122905,38,25,4,2024-12-29,2024,52,A.LAZARD,NYJ,0,0,0,0,0,9,0,0,2,1,0.9,1.4,1.9,0.9
2024122905,39,25,4,2024-12-29,2024,52,D.ADAMS,NYJ,0,0,0,0,0,47,0,0,6,5,4.7,7.2,9.7,4.7
2024122908,40,23,19,2024-12-29,2024,52,S.RATTLER,NO,218,1,2,46,0,0,0,0,0,0,13.32,13.32,13.32,13.32
2024122908,41,23,19,2024-12-29,2024,52,K.AUSTIN,NO,0,0,0,0,0,23,0,0,2,1,2.3,2.8,3.3,2.3
2024122908,42,23,19,2024-12-29,2024,52,F.MOREAU,NO,0,0,0,0,0,47,1,0,4,3,10.7,12.2,13.7,10.7
2024122905,43,4,25,2024-12-29,2024,52,J.ALLEN,BUF,182,2,0,15,1,0,0,0,0,0,22.78,22.78,22.78,22.78
2024122905,44,4,25,2024-12-29,2024,52,K.COLEMAN,BUF,0,0,0,0,0,27,1,0,5,3,8.7,10.2,11.7,8.7
2024122905,45,4,25,2024-12-29,2024,52,J.COOK,BUF,0,0,0,49,1,0,0,0,0,0,10.9,10.9,10.9,10.9
2024122905,46,25,4,2024-12-29,2024,52,B.HALL,NYJ,0,0,0,45,0,8,0,0,1,1,5.3,5.8,6.3,5.3
2024122905,47,25,4,2024-12-29,2024,52,A.RODGERS,NYJ,115,0,2,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6
